movement_code,movement_name,equipment,movement_pattern,recommended_mixamo_search_phrase,recommended_source_animation_family,source_filename,reuse_group,source_mode,blender_pattern,blender_modification_required,standard_modification,easier_modification,recommended_camera_angle,equipment_prop_behaviour,confidence,notes
MINI_HINGE,Mini Band Hinge,mini_band,hinge,hip hinge bend over,standing hip hinge,mixamo_hip_hinge_loop.fbx,hinge,mixamo,hinge,Add above-knee mini band and prevent lateral drift,Full hip-back hinge,Reduced hinge depth,side,Mini band remains above knees and follows thighs,high,Same source as bodyweight and resistance hinge.
MINI_HIP_ABDUCTION,Mini Band Standing Abduction,mini_band,lateral,not applicable,scripted hip abduction,scripted_blender,scripted_hip_abduction,scripted_blender,hip_abduction,Procedural single-leg abduction preserves supporting leg,Alternating controlled abduction,Toe tap out with smaller range,front,Mini band stays above knees and follows thighs,high,A lateral-step source would introduce unwanted travel and weight shift.
MINI_LATERAL_STEP,Mini Band Side Step,mini_band,lateral,side step lateral,standing lateral step,mixamo_lateral_step_loop.fbx,lateral_step,mixamo,lateral_step,Add above-knee band and centre root after each cycle,Controlled two-step travel,Shorter side steps,front,Mini band stays above knees and follows thighs,high,Use clean lateral stepping only.
MINI_LATERAL_TAP,Mini Band Side Tap,mini_band,lateral,side step lateral,standing lateral step,mixamo_lateral_step_loop.fbx,lateral_tap,mixamo,lateral_tap,Reduce travelling step to toe-tap pattern,Alternating side tap,Shorter tap and upright posture,front,Mini band stays above knees and follows thighs,medium,The lateral-step source provides timing; Blender removes travel.
MINI_MARCH,Mini Band March,mini_band,locomotion,march in place,standing march,mixamo_march_in_place_loop.fbx,march,mixamo,march,Add above-knee band and centre root,Alternating knee lifts,Low controlled march,front,Mini band stays above knees and follows thighs,high,Avoid forward walking loops.
MINI_MONSTER_WALK,Mini Band Forward-Back Step,mini_band,locomotion,not applicable,scripted monster walk,scripted_blender,scripted_monster_walk,scripted_blender,monster_walk,Procedural diagonal forward/back steps with low hips,Two steps forward then back,Small forward toe taps,front three-quarter,Mini band stays above knees and follows thighs,high,The prescribed direction changes are more reliable with scripted root/foot controls.
MINI_SQUAT,Mini Band Squat,mini_band,squat,bodyweight squat,standing squat,mixamo_squat_loop.fbx,squat,mixamo,squat,Add above-knee band with knee-out tension,Full controlled squat,Shallow squat,front three-quarter,Mini band stays above knees and follows thighs,high,Same source as all squat families.
MINI_SQUAT_PULSE,Mini Band Squat Pulse,mini_band,squat,not applicable,scripted squat pulse,scripted_blender,scripted_squat_pulse,scripted_blender,squat_pulse,Procedural partial squat pulse maintains correct depth,Small repeated pulses,Quarter-squat hold without pulse,front three-quarter,Mini band stays above knees and follows thighs,high,A full squat FBX would make the pulse prescription ambiguous.
MINI_SQUAT_SIDE_STEP,Mini Band Squat Side Step,mini_band,combo,bodyweight squat,standing squat,mixamo_squat_loop.fbx,squat_with_lateral_step,mixamo,combined,Blend a short lateral-step phase into the squat cycle,Squat then one controlled side step,Shallow squat and shorter step,front,Mini band stays above knees and follows thighs,medium,Squat source provides depth; Blender adds the lateral step.
MINI_STEP_BACK,Mini Band Step Back,mini_band,locomotion,not applicable,scripted step back,scripted_blender,scripted_step_back,scripted_blender,step_back,Procedural alternating toe-back taps with band tension,Alternating step back,Small toe tap back,side three-quarter,Mini band stays above knees and follows thighs,high,Scripted foot placement is more predictable than a lunge/walk source.
MINI_WIDE_MARCH,Mini Band Wide March,mini_band,locomotion,march in place,standing march,mixamo_march_in_place_loop.fbx,march,mixamo,march,Widen stance and add above-knee band,Wide alternating march,Smaller weight shift with low lift,front,Mini band stays above knees and follows thighs,high,Reuse the in-place march while Blender widens the base.
